"","place","lat","lng"
"307","City of London",51.51279,-0.09184
"308","City of Westminster",51.4975,-0.1357
"309","Whitehall",51.5042,-0.1264
"310","Chester",40.78427,-74.69683
"311","Ireland",39.25563,-81.77152
"312","Ayr",43.2834,-80.44968
"313","Upsal",40.04483,-75.19796
"314","Sweden",44.1334,-70.82257
"315","Russia",41.04065,-74.53266
"316","Versailles",41.60177,-72.0373
"317","Rome",43.21285,-75.45573
"318","Brussels",14.32037,120.95255
"319","Diest",50.98923,5.05062
"320","Liège Province",50.63427,5.56543
"321","Vilean",37.87921,-91.55904
"322","Murray",38.89564,-81.64013
"323","Glenlyn",-28.96667,29.9
"324","Balloch",56,-4.58333
"325","Monteith",41.63138,-94.42858
"326","Lenox",43.0584,-75.70435
"327","Dunkel",39.4681,-89.06286
"328","Portugal",-24.16667,29.25
"329","Aldgate",51.51342,-0.0771
"330","Milford Haven",37.48152,-76.28216
"331","Isle of Wight",36.90765,-76.70773
"332","Denmark",39.26976,-87.02584
"333","Williamson",39.85315,-77.7975
"334","Jos",47.37866,8.81475
"335","Nath",30.87489,70.15083
"336","Cornhill",51.51336,-0.08597
"337","Nahom Yahudi",31.8,47.15
"338","Edinburgh",39.1802,-77.1452
"339","Great Britain",54,-2
"340","Exeter",41.61982,-72.26425
"341","Newberry",53.13361,-6.725
"342","England",14.32689,120.97685
"343","Ireland",25.22138,55.15846
"344","Scotland",39.04066,-77.15915
"345","Leicestershire",52.66667,-1
"346","England",14.32689,120.97685
"347","Scotland",39.04066,-77.15915
"348","Ireland",25.22138,55.15846
"349","Leicester",52.63333,-1.13333
"350","Paris",38.82422,-85.63385
"351","Arrondissement de Perpignan",42.76452,2.85333
"352","Ferte",18.43333,-72.4
"353","Luxemburg",44.53861,-87.70398
"354","Brussels",14.32037,120.95255
"355","Frankfort",52.4575,-7.42056
"356","Regensburg",49.01513,12.10161
"357","Vienna",38.90122,-77.26526
"358","Arrondissement of Liège",50.63378,5.56509
"359","Lorraine",37.56792,-77.61999
"360","Poland",14.32581,120.9775
"361","Kempen",51.09356,6.09961
"362","Glencairn",42.07896,-76.48966
"363","Kenmore",38.95455,-77.26915
"364","Aberdeen",38.90534,-84.98745
"365","Dunolly",-18.13062,31.03899
"366","Glasgow",39.60483,-75.74521
"367","Leith",55.9713,-3.1723
"368","Market Cross",-41.25,172.13333
"369","Edinburgh",39.1802,-77.1452
"370","River Humber",53.54541,0.10471
"371","Newcastle",53.30111,-6.50222
"372","Humber",43.90011,-79.81634
"373","Man of War",45.33345,-60.94851
"374","Zealand Forest Camp",44.26451,-71.49508
"375","Grimsby",43.20011,-79.56631
"376","Italy",33.52183,36.2805
"377","Naples",14.32771,120.97567
"378","Catalonia",42,2
"379","Milan",39.12117,-85.13135
"380","Venice",14.32641,120.97603
"381","Istanbul",41.01384,28.94966
"382","Lago di Candia",45.31667,7.9
"383","Condia",-6.58448,14.6976
"384","Turin",45.21154,7.73357
"385","Pinerolo",44.88534,7.33135
"386","Naẖal Peres",30.98592,35.32729
"387","Namur",44.73472,-87.6701
"388","Germany",14.32722,120.97739
